"langname","area","active","alert","attentive","enthusiastic","excited","interested","proud","happy","joyful","delighted","cheerful","lively","energetic","strong","confident","bold","daring","fearless","afraid","scared","nervous","jittery","irritable","hostile","guilty","ashamed","upset","distressed","frightened","shaky","angry","disgusted","sad","lonely","dictsize"
"Japanese","Eurasia",32,0,0,0,31,6,20,31,19,7,30,30,0,103,0,36,18,7,38,0,10,0,10,6,17,57,10,13,11,0,66,10,46,29,27964
"Japanese","Eurasia",26,0,0,0,25,0,16,26,16,6,23,24,0,80,0,32,17,7,32,0,6,0,9,0,14,33,10,9,9,0,47,9,36,20,22686
"Xhosa","Africa",24,3,10,0,19,0,30,13,8,4,2,6,7,76,5,10,6,0,30,0,13,0,2,8,13,12,4,10,9,2,63,9,7,6,13291
"Xhosa","Africa",34,6,14,0,23,0,34,15,9,4,3,8,11,128,6,12,7,2,41,0,14,0,2,12,16,13,4,11,10,0,74,12,9,6,16393
"Kannada","Eurasia",4,0,0,0,0,0,18,30,0,11,0,0,2,60,0,17,9,2,11,2,0,0,0,14,4,5,0,4,14,0,7,0,3,0,8332
"Kannada","Eurasia",32,0,17,0,21,0,79,102,22,43,10,8,10,192,7,48,23,7,24,0,0,0,0,57,9,15,0,38,18,0,79,7,24,9,38875
"Kannada","Eurasia",36,0,18,0,23,0,83,104,22,45,9,0,9,199,7,48,25,8,27,0,0,0,0,61,10,16,0,41,19,0,85,8,86,9,41310
"Kannada","Eurasia",14,2,6,0,8,0,27,26,5,6,2,2,4,62,0,14,5,5,10,0,0,0,0,11,5,4,0,15,4,0,28,5,7,3,10602
"Korean","Eurasia",27,4,0,0,10,5,20,39,5,10,5,8,6,117,0,29,3,9,39,0,8,0,5,0,10,39,25,18,18,10,52,0,53,11,21925
"Korean","Eurasia",19,0,0,0,6,0,10,26,0,3,0,6,0,76,0,17,3,9,20,0,5,0,4,8,16,17,24,6,12,10,38,0,17,11,22056
"Latin","Eurasia",35,0,11,6,17,0,23,39,7,0,21,26,0,93,8,26,6,0,22,0,0,0,0,43,28,8,11,0,0,0,23,0,16,6,28682
"Latin","Eurasia",53,0,9,0,18,6,24,45,13,8,30,27,0,104,7,34,9,0,24,0,0,0,0,45,28,10,10,0,6,0,18,0,31,7,32672
"Latin","Eurasia",39,0,7,0,0,0,19,21,0,0,8,8,0,76,0,19,0,0,19,0,0,0,0,95,23,14,5,0,0,0,26,0,31,0,50793
"Latin","Eurasia",27,0,14,0,9,0,18,16,9,0,13,17,4,48,0,25,6,0,17,0,0,0,6,62,24,9,0,4,8,0,26,0,13,11,22448
"Latin","Eurasia",14,0,3,0,0,0,0,9,5,0,0,3,1,36,0,9,3,0,2,0,0,0,0,5,3,3,4,0,0,0,2,0,0,0,14820
"Standard Arabic","Eurasia",61,44,11,0,27,0,113,25,18,0,45,20,19,374,0,96,6,9,23,0,0,0,9,40,14,34,0,0,31,0,118,0,45,8,34873
"Standard Arabic","Eurasia",60,45,11,0,25,0,111,22,18,0,44,18,20,360,0,97,6,9,23,0,0,0,9,39,13,32,0,0,31,0,110,0,40,8,34163
"Standard Arabic","Eurasia",33,0,0,0,16,0,79,21,5,0,25,53,20,193,0,19,12,0,5,20,6,0,0,9,7,24,13,10,25,0,79,10,27,17,21819
"Standard Arabic","Eurasia",35,0,0,0,17,0,81,23,6,0,28,54,18,196,0,24,11,0,6,20,5,0,0,9,7,24,13,10,26,0,80,10,25,17,22213
"Standard Arabic","Eurasia",32,0,0,0,16,0,84,23,5,0,26,55,20,196,0,21,10,0,6,20,6,0,0,9,8,24,13,10,24,0,78,10,26,16,21952
"Standard Arabic","Eurasia",35,0,0,0,17,0,82,22,5,0,26,54,20,194,0,22,11,0,6,21,6,0,0,9,8,23,12,10,24,0,76,10,27,17,21916
"French","Eurasia",42,11,15,0,19,0,36,35,0,11,11,38,0,119,0,65,12,0,13,0,15,0,18,11,28,0,32,0,14,9,43,0,40,13,36479
"Hindi","Eurasia",39,39,18,0,27,10,40,95,0,53,20,0,0,107,0,18,0,18,17,37,21,0,0,28,14,44,14,24,36,0,114,10,80,15,33415
"Standard Arabic","Eurasia",4,3,0,0,3,8,4,17,0,0,0,0,0,57,0,13,0,0,14,2,5,0,0,0,8,2,11,0,0,0,16,2,5,0,6494
"Maguindanao","Papunesia",17,10,2,0,0,4,13,17,2,0,2,6,2,60,1,15,6,2,14,0,7,0,0,0,6,4,0,0,2,2,19,2,21,10,8244
"Malayalam","Eurasia",2,0,5,0,5,0,16,29,6,9,3,0,2,40,3,0,4,4,11,1,2,0,0,4,5,15,3,10,11,1,7,0,2,3,6615
"Standard Malay","Eurasia",2,2,0,0,3,0,8,7,0,0,0,9,3,42,0,7,3,0,5,2,4,0,0,3,2,9,5,0,3,0,18,0,14,4,7292
