"location","year","Depressive disorders","Major depressive disorder","Dysthymia","Anxiety disorders","mn_pos","mn_neg","ratio","total"
"Armenia",2017,3.1861302859,1.84385359823,1.39662728565,2.75756749531,120.615384615385,55.6153846153846,0.46109693877551,176.230769230769
"Madagascar",2017,2.70671835566,1.92182572916,0.834307582217,3.20920099353,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Kuwait",2017,4.0284035104,2.92543495414,1.17654262883,5.49371210278,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"South Sudan",2017,2.58887843753,1.84959956451,0.785246249147,3.107155362,20,16,0.8,36
"Iran",2017,5.50969018331,4.38851708974,1.26899929065,7.2955262433,84.4615384615385,63.6923076923077,0.754098360655738,148.153846153846
"Mauritania",2017,2.3575701386,1.51090627512,0.88576151721,2.752961853,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Japan",2017,3.7622690861,2.46318649617,1.36181527055,3.54408201918,241.074074074074,157.018518518519,0.651328929174988,398.092592592593
"Federated States of Micronesia",2017,2.86680473888,1.53436663147,1.38069831804,3.18346056162,20,16,0.8,36
"Croatia",2017,3.64584589573,2.4703643033,1.2407001098,3.79164721058,67.05,85.6,1.27665920954512,152.65
"Iceland",2017,3.72551951219,2.02037879388,1.77180141899,5.39963595337,429.8,132,0.307119590507213,561.8
"Lebanon",2017,3.55506929128,2.6693339147,0.952421139034,6.13764844409,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Turkey",2017,3.99314432011,2.69473593632,1.37676999515,4.08841876697,146.75,89.8,0.611925042589438,236.55
"Togo",2017,2.81122769345,1.96568503126,0.898701702785,2.73938372766,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Netherlands",2017,4.58925442192,2.58281363949,2.10544191795,6.79818533454,127.47619047619,92.9047619047619,0.728800896525962,220.380952380952
"Comoros",2017,2.87614397988,1.91324381762,1.01534941388,3.54169029974,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Kazakhstan",2017,3.54727483525,2.39229528703,1.22466675968,2.61494491042,146.065942766655,109.712589073634,0.751116838022285,255.77853184029
"Israel",2017,3.89991044429,2.36878570892,1.60798723329,3.03796629452,51.7692307692308,41.7692307692308,0.806835066864785,93.5384615384615
"Angola",2017,3.0243076044,2.28827524242,0.796068208268,2.88200757594,183.96875,119.40625,0.649057244776627,303.375
"Costa Rica",2017,3.10171110055,2.20368833301,0.944227757194,3.06801984274,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
