id,year,title,langname,gcode,area,langfamily,affiliation,longitude,latitude
iau.31858055670883,1997,Clough's Sinhala English dictionary / B. Clough.,Sinhala,sinh1246,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Dhivehi-Sinhala,Sinhalaic",81,8
uc1.32106013882870,1998,"Collins engelsk-norsk ordbok = English-Norwegian dictionary / Lorna Sinclair Knight, Hilde Hasselgård",Norwegian,norw1258,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,North Germanic,West Scandinavian",10.71,59.92
uc1.32106014581794,1997,Collins English Greek dictionary,Modern Greek,mode1248,Eurasia,Indo-European,"Indo-European,Graeco-Phrygian,Greek,East Greek,Koineic Greek,Modern Koineic Greek,Nuclear Modern Greek",23.13,38.36
mdp.39015054032654,1995,"Collins English-Italian, Italian-English dictionary / [editors, Gabriella Bacchelli ... et al.].",Italian,ital1282,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Italo-Dalmatian,Italian Romance",12.6489,43.0464
uc1.31822005249149,1983,Collins German-English dictionary / by Roland Breitsprecher ... [et al. ; edited by Veronika Calderwood-Schnoor]_v.1,German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uva.x004659630,2003,"Collins German-English, English-German dictionary.",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
mdp.39015021556751,1980,Collins German-English English-German dictionary / by Peter Terrell ... [et. al.],German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
mdp.39015015045225,1985,Collins Giunti Marzocco concise Italian-English English-Italian dictionary = Giunti Marzocco Collins dizionario italiano-inglese inglese-italiano / by Catherine E. Love.,Italian,ital1282,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Italo-Dalmatian,Italian Romance",12.6489,43.0464
uc1.32106013567653,1995,Collins Robert comprehensive French-English dictionary / [by Beryl T. Atkins ... [et al.]]_v.1,French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
mdp.39015018953649,1981,"Collins-Robert concise French-English, English-French dictionary / by Beryl T. Atkins ... [et al.].",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
uc1.32106020062508,1978,"Collins-Robert French-English, English-French dictionary, by Beryl T. Atkins, Alain Duval, Rosemary C. Milne [et al.]",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
mdp.39015046335397,1994,"Collins Russian English English Russian dictionary / [Albina Ozieva, Olga Stott, Marina Hepburn]",Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
uc1.31822036710770,1982,"Collins Spanish dictionary : Spanish-English, English-Spanish / [principal editor], Mike Gonzalez",Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
mdp.49015002909423,1993,"Collins Spanish English, English Spanish dictionary / by Colin Smith in collaboration with Diarmuid Bradley ... [et al.] = Collins diccionario español inglés, inglés español / por Colin Smith en colaboración con Diarmuid Bradley ... [et al.].",Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
mdp.39015060090605,2004,"Collins Spanish-English, English-Spanish dictionary = Collins diccionario español-inglés, inglés-español",Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
pst.000043490769,1997,"Collins Spanish-English, English-Spanish dictionary : unabridged / by Colin Smith, in collaboration with Diarmuid Bradley ... [et al.].",Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
